data_year,victim_id,offense_id
2021,163520470,177811272
2021,158584296,172858019
2021,158584552,172858309
2021,163362939,177645267
2021,158653302,172930871
2021,158584553,172858310
2021,158584554,172858310
2021,163358293,177640451
2021,163358293,177640452
2021,163358293,177640453
2021,163358293,177640454
2021,165931617,180235987
2021,158584557,172858313
2021,158584559,172858316
2021,158584580,172858337
2021,163362944,177645272
2021,163362945,177645273
2021,158584581,172858338
2021,158584582,172858339
2021,163360149,177642379
2021,163361815,177644122
2021,163361815,177644123
2021,163361816,177644122
2021,163361816,177644123
2021,163361817,177644122
2021,163361817,177644123
2021,163361818,177644122
2021,163361818,177644123
2021,158584551,172858308
2021,158584561,172858318
2021,158584562,172858318
2021,158584577,172858333
2021,158584578,172858334
2021,158584579,172858335
2021,158584579,172858336
2021,158584597,172858356
2021,158584597,172858357
2021,158584597,172858358
2021,158584598,172858359
2021,163357659,177639785
2021,158584599,172858360
2021,158584600,172858361
2021,158584633,172858395
2021,158584633,172858396
2021,163357660,177639786
2021,158584634,172858397
2021,158584650,172858414
2021,158584651,172858414
2021,158584652,172858415
2021,158584653,172858416
2021,158584654,172858417
2021,158584654,172858418
2021,158584654,172858419
2021,158584528,172858278
2021,158584528,172858279
2021,163362948,177645276
2021,158584529,172858280
2021,158584530,172858281
2021,158584531,172858282
2021,158584532,172858283
2021,158584533,172858284
2021,158584533,172858285
2021,158584534,172858286
2021,158584536,172858288
2021,158584537,172858289
2021,163361821,177644126
2021,163357661,177639787
2021,163357661,177639788
2021,163357661,177639789
2021,158584538,172858290
2021,163362941,177645269
2021,163362943,177645271
2021,158584539,172858291
2021,158584540,172858292
2021,158584541,172858293
2021,163362954,177645282
2021,165931633,180236003
2021,163360151,177642381
2021,163360152,177642382
2021,158584545,172858298
2021,158584545,172858299
2021,158584546,172858300
2021,158584546,172858301
2021,163361823,177644128
2021,163362334,177644663
2021,163362334,177644664
2021,163362334,177644665
2021,158653308,172930879
2021,158584547,172858302
2021,158584547,172858303
2021,158584547,172858304
2021,158584549,172858306
2021,158584550,172858307
2021,158584585,172858342
2021,158584565,172858321
2021,158584565,172858322
2021,158584563,172858319
2021,158584564,172858320
2021,158584566,172858323
2021,158584567,172858324
2021,163360154,177642384
2021,158584568,172858325
2021,158584569,172858326
2021,165931653,180236024
2021,165931653,180236025
2021,163360156,177642387
2021,163357662,177639790
2021,158584570,172858327
2021,163362341,177644672
2021,163362351,177644682
2021,163362351,177644683
2021,158584571,172858328
2021,158584572,172858329
2021,158584572,172858330
2021,158584629,172858391
2021,158584630,172858392
2021,158584631,172858393
2021,158584632,172858394
2021,158584601,172858362
2021,163358296,177640457
2021,163358296,177640458
2021,158584602,172858363
2021,158584603,172858364
2021,158584586,172858343
2021,158584587,172858344
2021,158584588,172858345
2021,158584588,172858346
2021,158584589,172858347
2021,158584590,172858348
2021,163357663,177639791
2021,165932924,180237339
2021,165932924,180237340
2021,158584591,172858349
2021,163520471,177811273
2021,163357664,177639792
2021,158584592,172858350
2021,163362363,177644696
2021,158584593,172858351
2021,158584593,172858352
2021,163520472,177811274
2021,163362368,177644701
2021,158584604,172858365
2021,158584605,172858365
2021,158584606,172858365
2021,158584656,172858421
2021,165932943,180237359
2021,165932943,180237360
2021,158584608,172858368
2021,158584609,172858369
2021,158584610,172858370
2021,158584611,172858371
2021,158584611,172858372
2021,158584611,172858373
2021,158584612,172858371
2021,158584612,172858372
2021,158584612,172858373
2021,158584613,172858374
2021,158584614,172858375
2021,158584615,172858376
2021,158584616,172858377
2021,158584617,172858378
2021,158584618,172858379
2021,158584618,172858380
2021,158584619,172858381
2021,163362375,177644707
2021,158579704,172853283
2021,158579705,172853284
2021,158579707,172853286
2021,163362384,177644715
2021,163362384,177644716
2021,158579709,172853288
2021,158579710,172853289
2021,158579711,172853290
2021,158579712,172853291
2021,158579713,172853292
2021,158579714,172853293
2021,158653312,172930883
2021,163362392,177644724
2021,158579715,172853294
2021,158579716,172853295
2021,158579719,172853298
2021,158579721,172853300
2021,158579702,172853281
2021,163362397,177644730
2021,163362398,177644731
2021,163362399,177644732
2021,158653313,172930884
2021,163362401,177644734
2021,163362403,177644736
