data_year,weapon_id,offense_id,nibrs_weapon_id
2021,41,172861379,
2021,42,172861384,
2021,41,172861560,
2021,41,172861564,
2021,38,172861803,
2021,41,177717849,
2021,41,172862912,
2021,41,172864291,
2021,41,172864622,
2021,41,172864623,
2021,21,177640702,
2021,41,177640705,
2021,38,172864897,
2021,38,172861422,
2021,41,172861392,
2021,41,172865806,
2021,41,172865825,
2021,38,172865827,
2021,41,177640708,
2021,41,172865829,
2021,41,177640711,
2021,41,172865983,
2021,41,172866235,
2021,7,172866238,
2021,41,172866254,
2021,41,172866261,
2021,41,172866490,
2021,38,177641055,
2021,38,172866668,
2021,41,177641207,
2021,41,172866394,
2021,38,177811529,
2021,38,172866626,
2021,41,172866807,
2021,38,177642498,
2021,41,172866783,
2021,41,172866785,
2021,41,172867123,
2021,41,172867126,
2021,41,177642499,
2021,41,177642500,
2021,41,172932795,
2021,41,172932954,
2021,41,172932960,
2021,41,177642507,
2021,41,172930840,
2021,21,172868842,
2021,41,177717930,
2021,42,172868854,
2021,41,172868800,
2021,41,172868808,
2021,41,177642516,
2021,41,177717933,
2021,42,172865047,
2021,38,172865048,
2021,41,177642524,
2021,41,172865054,
2021,41,177645732,
2021,41,172865069,
2021,41,172865075,
2021,42,172865082,
2021,38,172865088,
2021,41,172865315,
2021,41,172865319,
2021,41,172865328,
2021,41,172865343,
2021,38,172865351,
2021,38,172869524,
2021,41,172869867,
2021,41,172869870,
2021,21,172870000,
2021,41,172870002,
2021,41,172870003,
2021,38,172870005,
2021,41,172870006,
2021,38,172870011,
2021,41,177642522,
2021,41,172879818,
2021,41,177642543,
2021,42,172871564,
2021,41,172869217,
2021,41,172869933,
2021,41,172869959,
2021,41,180222945,
2021,41,172870111,
2021,41,172870118,
2021,41,172870127,
2021,41,172870717,
2021,41,172870721,
2021,41,172870726,
2021,41,172870736,
2021,41,172871087,
2021,41,172871218,
2021,38,172869401,
2021,41,177645488,
2021,38,172869808,
2021,38,172869810,
2021,41,172869814,
2021,41,172879864,
2021,41,172869831,
2021,41,177811783,
2021,41,177645554,
2021,41,172870277,
2021,41,172870305,
2021,41,172870613,
2021,41,172871405,
2021,41,172869132,
2021,41,172869990,
2021,21,172870470,
2021,41,172870471,
2021,41,177645684,
2021,42,172870755,
2021,41,172870882,
2021,41,177645747,
2021,41,177645750,
2021,41,177645756,
2021,41,177645767,
2021,41,172880823,
2021,38,172880826,
2021,41,172880744,
2021,41,172881368,
2021,38,172883598,
2021,41,172883600,
2021,41,172883605,
2021,41,172883965,
2021,41,172883967,
2021,1,177811808,
2021,41,172884316,
2021,38,172877200,
2021,41,172877206,
2021,38,172877223,
2021,41,172879065,
2021,41,172879887,
2021,41,172880292,
2021,38,172880754,
2021,41,172880778,
2021,38,172881418,
2021,38,172882849,
2021,41,172883982,
2021,31,172883986,
2021,41,172934387,
2021,41,172934388,
2021,41,172934389,
2021,41,172934415,
2021,41,172934424,
2021,41,172934425,
2021,41,172934427,
2021,41,172934572,
2021,41,172934575,
2021,41,172876883,
2021,41,172876884,
2021,41,172877247,
2021,38,172877256,
2021,41,177713629,
2021,41,172878441,
2021,41,172878461,
2021,41,172878476,
2021,42,177649102,
2021,41,172879911,
2021,38,172879922,
2021,41,177649106,
2021,41,177649107,
2021,41,172879942,
2021,38,177649174,
2021,41,177649211,
2021,41,177649242,
2021,41,177718063,
2021,38,177649244,
2021,41,177649246,
2021,41,172889423,
2021,41,172889433,
2021,1,172889732,
2021,41,172889940,
2021,38,172889945,
2021,41,177649713,
2021,41,172889946,
2021,41,172889952,
2021,41,172889959,
2021,42,172889971,
2021,41,177718065,
2021,38,172889981,
2021,38,172889984,
2021,41,172887175,
2021,41,177811818,
2021,41,172887185,
2021,41,172887189,
2021,42,172887191,
2021,41,172887347,
2021,42,172887464,
2021,42,172887473,
2021,41,172887476,
2021,41,172887485,
2021,38,172887488,
2021,41,172887719,
2021,41,172887720,
2021,41,172887721,
2021,41,172887735,
2021,41,172887738,
2021,41,172887744,
2021,21,165470535,
2021,39,177744251,
2021,41,172887747,
2021,41,165221833,
2021,41,172887760,
2021,39,165221842,
2021,38,165470599,
2021,42,172887761,
2021,41,172888020,
2021,21,177744262,
2021,21,177744263,
2021,41,172888021,
2021,41,172888022,
2021,21,165222914,
2021,38,177654801,
2021,21,165222915,
2021,38,165471948,
2021,38,165471858,
2021,31,165222921,
2021,3,177657396,
2021,39,165224535,
2021,39,165496778,
2021,39,165222916,
2021,38,165224563,
2021,41,172888496,
2021,41,165496782,
2021,39,165496785,
2021,41,177657397,
2021,41,165496787,
2021,39,168812617,
2021,41,172888505,
2021,39,165496817,
2021,41,165496811,
2021,41,172888509,
2021,41,172888510,
2021,41,172888515,
2021,41,172888726,
2021,41,172888727,
2021,41,172888729,
2021,41,177654870,
2021,41,172900895,
2021,38,172901060,
2021,41,172901065,
2021,41,172901340,
2021,41,172901376,
2021,41,172901640,
2021,41,172901791,
2021,39,177654370,
2021,41,172901946,
2021,41,172901956,
2021,41,172901957,
2021,42,172901991,
2021,39,168893048,
2021,39,168812638,
2021,39,165496970,
2021,39,165500506,
2021,41,168812640,
2021,38,165497008,
2021,41,168848550,
2021,41,172901992,
2021,41,172902711,
2021,41,168918782,
2021,41,165497069,
2021,39,168817863,
2021,39,168893051,
2021,39,168818065,
2021,41,168818071,
2021,41,177813678,
2021,39,168818074,
2021,41,168893227,
2021,39,168893230,
2021,38,172903273,
2021,39,172884700,
2021,39,168893254,
2021,39,172884706,
2021,41,168893256,
2021,39,168918786,
2021,41,172899701,
2021,41,168893262,
2021,39,168893283,
2021,39,168919499,
2021,39,168919500,
2021,42,172899709,
2021,39,172884709,
2021,5,177745559,
2021,41,172900179,
2021,39,177666040,
2021,41,172884710,
2021,41,172900188,
2021,41,172900193,
2021,41,172900615,
2021,41,177812101,
2021,41,172900622,
2021,38,172900640,
2021,41,172900669,
2021,41,172900904,
2021,42,172935528,
2021,41,168920167,
2021,41,177745420,
2021,41,172933275,
2021,39,172884715,
2021,39,177666041,
2021,39,177666043,
2021,41,172933277,
2021,41,177658078,
2021,41,172933278,
2021,41,172933296,
2021,41,172933299,
2021,41,172933305,
2021,39,172877958,
2021,41,172933307,
2021,41,172933318,
2021,38,172933546,
2021,38,172933556,
2021,41,177654789,
2021,41,172933561,
2021,21,177814083,
2021,21,177814084,
2021,39,180222249,
2021,41,172879170,
2021,41,177653245,
2021,41,172879173,
2021,38,177658103,
2021,39,177658106,
2021,21,177658108,
2021,1,180222251,
2021,41,177653246,
2021,41,177650193,
2021,41,177653247,
2021,39,177649609,
2021,38,177653249,
2021,41,177653252,
2021,41,177718074,
2021,41,177649613,
2021,41,177666046,
2021,41,177654009,
2021,39,177649614,
2021,39,177649615,
2021,41,177654116,
2021,41,177649616,
2021,39,177649619,
2021,41,177654119,
2021,41,177654137,
2021,39,177658536,
2021,41,177735034,
2021,39,177649623,
2021,39,177649624,
2021,41,177735037,
2021,39,177666414,
2021,39,177666415,
2021,41,177653731,
2021,39,177666417,
2021,39,177666418,
2021,39,177658487,
2021,1,177735039,
2021,7,177735040,
2021,39,177666799,
2021,41,177658711,
2021,41,177658712,
2021,41,177659683,
2021,39,177735045,
2021,39,177658720,
2021,41,177658723,
2021,21,177735004,
2021,21,177735005,
2021,41,177735010,
2021,39,177814680,
2021,39,180222291,
2021,41,177659053,
2021,41,177718080,
2021,41,177735229,
2021,39,177735233,
2021,41,177659691,
2021,39,177737701,
2021,41,177737703,
2021,41,177659195,
2021,41,177659778,
2021,31,180222313,
2021,31,180222314,
2021,41,177659198,
2021,39,177659200,
2021,39,177737706,
2021,41,177659956,
2021,41,177811362,
2021,41,177738910,
2021,39,177811364,
2021,41,177811369,
2021,41,177811370,
2021,41,177659964,
2021,41,177811371,
2021,1,177811372,
2021,41,177738915,
2021,41,177660242,
2021,41,177740419,
2021,41,177811376,
2021,41,177811377,
2021,39,177811380,
2021,41,177742403,
2021,41,177742405,
2021,39,177743398,
2021,21,180222245,
2021,21,180222246,
2021,41,177811387,
2021,41,177660246,
2021,3,177811389,
2021,3,177811390,
2021,39,180222250,
2021,38,177660247,
2021,41,180222255,
2021,41,177660353,
2021,41,180222599,
2021,41,177814074,
2021,39,177814243,
2021,41,177660360,
2021,41,177814245,
2021,38,177718141,
2021,1,177660361,
2021,39,177814669,
2021,41,177660364,
2021,41,180222404,
2021,38,177660365,
2021,41,177660390,
2021,41,177660391,
2021,41,177660393,
2021,38,177660394,
2021,41,177654038,
2021,42,165470605,
2021,41,165219478,
2021,41,165470608,
2021,41,165217761,
2021,42,165470609,
2021,41,165470613,
2021,41,177654744,
2021,41,165470612,
2021,42,165217762,
