data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2021,144003668,16,100,,
2021,147597606,29,1000,,
2021,144005077,63,50,,
2021,144005078,9,0,,
2021,144005078,25,1,,
2021,144005078,51,0,,
2021,144017992,9,0,,
2021,144017992,20,757,,
2021,144005298,1,2,,
2021,144005586,63,31,,
2021,144005700,52,0,,
2021,144006125,17,2700,,
2021,144006125,61,900,,
2021,144006125,63,25,,
2021,144006130,20,1300,,
2021,149542342,21,1,,
2021,149542343,20,4200,,
2021,144006456,16,100,,
2021,144006735,8,2,,
2021,144006735,19,2,,
2021,144006737,47,0,,
2021,144006738,42,8351,,
2021,144006742,63,300,,
2021,144006754,3,1,,
2021,144006755,3,200,,
2021,144006758,3,200,,
2021,144006762,3,200,,
2021,144006765,20,15000,2021-07-14,
2021,144006766,20,34000,,
2021,144006776,4,9500,,
2021,144006779,63,750,,
2021,147597607,6,190,,
2021,147597607,17,4800,,
2021,147597607,26,79,,
2021,144006788,63,1,,
2021,144006973,20,12,,
2021,144006973,38,25,,
2021,144006982,9,0,,
2021,144006982,25,1,,
2021,144006997,16,40,,
2021,144006997,45,10,,
2021,144006997,54,40,,
2021,147597608,19,534,2021-07-27,
2021,147597609,19,534,,
2021,144007470,20,10000,,
2021,144007894,9,0,,
2021,144008015,19,147,,
2021,147597610,38,300,,
2021,147597611,3,998,,
2021,147597612,38,499,,
2021,144017997,52,0,,
2021,144017998,20,3500,,
2021,144018004,6,50,,
2021,144018005,3,215,,
2021,144018006,3,3736,,
2021,144018007,16,100,,
2021,144015739,3,13000,,
2021,144015740,9,0,,
2021,144015740,20,4214,,
2021,144015741,63,12000,,
2021,144015742,63,39,,
2021,144015871,63,100,,
2021,144015873,20,946,,
2021,144015874,17,100,,
2021,144015874,20,120,,
2021,144015875,9,0,,
2021,144015875,51,0,,
2021,144015876,22,0,2021-08-16,
2021,144015877,52,0,,
2021,144015954,9,0,2021-08-21,
2021,144015955,20,6564,,
2021,144015956,63,5,,
2021,144016155,20,100,,
2021,144016383,3,249,,
2021,138460299,63,1,,
2021,138460300,10,,,
2021,138460300,11,1,,
2021,144013598,20,1800,,
2021,138460340,63,190,,
2021,138460349,63,5,,
2021,138460350,11,2,,
2021,144016384,9,0,,
2021,144016384,20,120,,
2021,144016384,25,450,,
2021,144016384,47,0,,
2021,144016385,3,300,,
2021,144016386,19,146,2021-08-26,
2021,144016387,19,146,,
2021,144016388,21,1950,,
2021,144016389,21,1950,,
2021,144016390,19,650,,
2021,144016579,20,4500,,
2021,144025923,19,975,,
2021,144025924,13,500,,
2021,144025924,49,50,,
2021,144026044,19,1,,
2021,144026045,20,10,,
2021,138267567,2,1,,
2021,144026139,9,0,,
2021,144026139,20,60,,
2021,144026139,25,50,,
2021,144026139,47,0,,
2021,144026139,51,0,,
2021,144026139,61,300,,
2021,144026139,63,1,,
2021,144026343,3,7500,2021-09-07,
2021,144026344,3,7500,,
2021,144026345,20,150,,
2021,144026564,10,,,
2021,138266291,17,220,,
2021,144026753,20,13,,
2021,144026755,19,814,,
2021,144026756,19,492,,
2021,144026757,35,50,,
2021,144026758,7,38,,
2021,144026759,4,500,,
2021,147597613,19,119,,
2021,144026761,20,4900,,
2021,144026762,20,24000,,
2021,144026763,3,6500,,
2021,144026765,20,1177,,
2021,144026765,21,120,,
2021,144026766,19,40,,
2021,144026736,19,59,,
2021,144026737,63,50,,
2021,144026739,20,8750,,
2021,144026740,4,1,2021-09-21,
2021,144026741,4,1,,
2021,144026742,19,193,,
2021,144026865,9,0,,
2021,144026865,20,600,,
2021,144026866,50,36,,
2021,144026870,19,345,,
2021,144026871,10,,,
2021,144026872,1,1,,
2021,144026873,52,0,,
2021,144026874,19,190,,
2021,144027136,19,31,,
2021,149543591,36,2283,,
2021,138271273,63,251,,
2021,138461265,63,1,,
2021,138479487,20,250,,
2021,138460351,63,1,,
2021,147597698,3,1200,,
2021,147597699,38,1200,,
2021,147713739,9,0,,
2021,138266292,63,1,,
2021,138461751,63,1,,
2021,138461694,63,1,,
2021,147713739,20,960,,
2021,147646161,9,0,,
2021,147646161,10,1,,
2021,147646161,17,450,,
2021,147646161,20,30,,
2021,147646161,25,1145,,
2021,149543607,21,1,,
2021,149543608,20,2000,,
2021,147597702,19,253,,
2021,149543618,51,0,2021-10-04,
2021,149543619,20,2200,,
2021,147597705,10,,,
2021,149543632,20,12512,,
2021,147597707,52,0,,
2021,147597708,19,156,,
2021,147713740,21,1,,
2021,147713741,20,900,,
2021,147597710,61,500,,
2021,147641642,19,170,,
2021,138268430,63,1,,
2021,147641648,3,80000,2021-10-11,
2021,138479488,63,2500,,
2021,138461665,63,1,,
2021,147641649,10,,,
2021,147641650,3,80000,,
2021,147641651,20,280,,
2021,147597711,38,2500,,
2021,147597713,52,0,,
2021,147597716,19,72,,
2021,147646162,20,9000,,
2021,147597719,9,0,,
2021,147597719,20,1066,,
2021,147597724,4,300,,
2021,147597726,52,0,,
2021,147597727,54,1100,,
2021,147597775,29,200,,
2021,147597777,19,372,,
2021,147597896,52,0,,
2021,149543648,52,0,,
2021,147597898,38,1,,
2021,147597899,38,1,,
2021,149545222,9,0,,
2021,138271274,63,1,,
2021,144013599,63,100,,
2021,138461316,63,1,,
2021,138479553,63,8,,
2021,149545222,20,1380,,
2021,147597894,63,1,,
2021,147597895,31,275,,
2021,147597900,21,2750,,
2021,147646163,3,502,,
2021,144013600,26,300,,
2021,144013600,63,500,,
2021,138479555,63,1,,
2021,147597996,19,525,,
2021,147597993,10,,,
