data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,178070460,182777550,18,
2022,178070483,182777572,3,
2022,165947473,170786944,18,
2022,178083874,182790909,18,
2022,165947476,170786947,18,
2022,178070499,182777586,18,
2022,182948228,187598161,24,
2022,182948229,187598161,24,
2022,178083876,182790911,18,
2022,178070083,182777178,3,
2022,178070141,182777230,18,
2022,178083881,182790914,3,
2022,178080019,182786970,26,
2022,178072022,182779148,18,
2022,178072037,182779164,26,
2022,178083888,182790920,18,
2022,178072040,182779167,18,
2022,178072040,182779168,18,
2022,178072041,182779167,18,
2022,178072041,182779168,18,
2022,178072082,182779206,18,
2022,178072096,182779221,26,
2022,178072127,182779253,26,
2022,178072154,182779281,18,
2022,178077459,182784370,26,
2022,178084305,182791341,18,
2022,178077462,182784375,18,
2022,178077466,182784377,18,
2022,178072267,182779394,18,
2022,178077471,182784382,18,
2022,178084309,182791348,18,
2022,178397800,183101800,18,
2022,178397800,183101801,18,
2022,178072294,182779417,18,
2022,178077477,182784387,18,
2022,178077477,182784388,18,
2022,178077478,182784387,18,
2022,178077478,182784388,18,
2022,178072304,182779426,18,
2022,178072311,182779433,26,
2022,178072320,182779442,18,
2022,178079833,182786787,18,
2022,178080330,182787307,26,
2022,178084311,182791349,18,
2022,178079835,182786789,18,
2022,178072146,182779272,18,
2022,178072215,182779341,3,
2022,178072264,182779391,26,
2022,178084312,182791350,18,
2022,178084312,182791351,18,
2022,178072893,182780001,18,
2022,178072893,182780002,18,
2022,178072903,182780015,3,
2022,178072912,182780024,3,
2022,178072898,182780007,18,
2022,165947656,170787134,18,
2022,178072918,182780031,18,
2022,165947661,170787139,18,
2022,165947662,170787139,18,
2022,178080362,182787348,18,
2022,178084313,182791352,18,
2022,178080366,182787352,18,
2022,178080208,182787176,18,
2022,178072933,182780046,18,
2022,178080210,182787179,26,
2022,178080211,182787180,3,
2022,178080214,182787183,18,
2022,178072941,182780053,18,
2022,178080226,182787195,18,
