data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,2,162921272,1.000,1,14719572
2022,10,151445568,1.500,1,13095551
2022,16,162949319,1.000,1,14723849
2022,8,165965350,1.000,1,15146639
2022,16,162921795,1.000,1,14719620
2022,8,162921799,0.000,1,14719621
2022,12,162921809,1.000,1,14719622
2022,13,162921816,1.000,1,14719623
2022,12,162922305,1.000,1,14719648
2022,2,162922543,1.000,1,14719664
2022,4,165965351,1.000,1,15146640
2022,12,162922820,2.000,1,14719685
2022,17,162922822,1.000,1,14719686
2022,2,162380425,2.000,1,14655238
2022,8,162923109,1.000,1,14719706
2022,12,162923115,1.000,1,14719707
2022,17,162921108,15.300,1,14719564
2022,2,149527596,700.000,2,12821638
2022,4,149527364,1.000,9,12821597
2022,12,162338751,1.000,9,14652286
2022,4,162343472,6.000,9,14652593
2022,12,162373755,1.000,9,14654982
2022,12,151473090,1.000,9,13099304
2022,12,151473095,1.000,9,13099305
2022,12,151473590,2.000,9,13099341
2022,12,162373949,1.000,9,14654992
2022,2,155207045,1.000,9,13669450
2022,16,155185549,1.000,9,13666996
2022,4,155185660,1.000,9,13667001
2022,12,162370768,1.000,9,14654959
2022,4,155228170,1.000,9,13672596
2022,2,162498149,3.000,9,14668625
2022,2,151435833,0.000,1,13094804
2022,4,155228454,7.000,9,13672612
2022,12,155192278,1.000,9,13667554
2022,12,155190547,1.000,9,13667352
2022,4,155191312,1.000,9,13667418
2022,12,162389032,1.000,9,14655662
2022,12,155194757,11.000,1,13667962
2022,4,162498155,1.000,9,14668628
2022,16,162398312,28.000,9,14656553
2022,16,162398314,10.000,9,14656554
2022,16,162391937,1.000,9,14655993
2022,12,162526845,64.000,1,14671010
2022,2,151445069,136.000,9,13095518
2022,12,162521078,1.000,9,14670754
2022,12,162522424,1.000,9,14670855
2022,8,155286247,41.000,1,13679521
2022,2,155188146,0.000,1,13667146
2022,16,155188180,7.000,9,13667148
2022,2,162374746,1.000,1,14655059
2022,12,155188922,1.000,1,13667236
2022,16,155204704,1.000,11,13669111
2022,2,155204712,9.000,1,13669112
2022,17,155187880,2.000,1,13667130
2022,2,155187964,14.000,1,13667137
2022,16,155187976,6.000,9,13667138
2022,17,155185378,1.000,1,13666973
2022,4,162921608,32.000,9,14719597
2022,17,155231732,0.000,1,13672799
2022,12,162383625,4.000,1,14655287
2022,17,155228748,1.000,1,13672630
2022,9,162380569,20.000,1,14655245
2022,2,155252239,0.000,1,13675234
2022,2,149531290,1.000,9,12821765
2022,16,155246766,6.000,9,13674584
2022,16,162389587,25.000,9,14655802
2022,8,149531514,1.000,9,12821788
2022,2,162338885,1.000,9,14652299
2022,2,162389588,1.000,1,14655803
2022,10,162389247,6.000,1,14655704
2022,16,162391818,2.000,9,14655989
2022,16,162389249,4.000,1,14655705
2022,12,149532217,1.000,9,12821843
2022,2,162392335,1.000,9,14656026
2022,17,162392701,1.000,9,14656043
2022,16,149534971,2.000,9,12822221
2022,8,149535055,1.000,9,12822234
2022,17,162392856,1.000,9,14656055
2022,16,162921616,4.000,1,14719598
2022,16,149527394,3.000,9,12821604
2022,4,165947014,0.000,1,15144690
2022,16,151453901,23.000,9,13096368
2022,11,151453908,2.000,9,13096369
2022,17,162391992,1.000,1,14656000
2022,12,151453919,1.000,7,13096370
2022,2,162902581,24.000,1,14717861
2022,12,151454075,15.000,1,13096384
2022,16,151454113,1.000,7,13096388
2022,16,151455088,2.000,9,13096494
2022,12,151455114,1.000,9,13096497
2022,17,151455641,1.000,9,13096537
2022,12,151455856,1.000,9,13096552
2022,12,151455861,1.000,9,13096553
2022,12,162344099,1.000,9,14652632
2022,12,151493145,1.000,9,13102508
2022,12,151493150,1.000,9,13102509
2022,2,162922113,1.000,1,14719643
2022,12,162374081,1.000,9,14655006
2022,5,151493304,1.000,9,13102518
2022,12,151493305,1.000,9,13102519
2022,12,151493473,3.000,9,13102537
2022,16,151493795,1.000,9,13102553
2022,16,155188184,1.000,9,13667150
2022,16,162498169,3.000,9,14668631
2022,12,155188238,1.000,9,13667152
2022,4,155230529,1.000,9,13672738
2022,17,162389590,0.000,1,14655804
2022,8,155230679,6.000,9,13672746
2022,12,155251181,1.000,9,13675158
2022,12,162923593,1.000,9,14719746
2022,12,155197865,1.000,9,13668253
2022,17,155198036,5.000,9,13668264
2022,16,155197463,1.000,9,13668203
2022,4,155197605,1.000,9,13668216
2022,12,155196254,2.000,9,13668098
2022,16,155197768,1.000,9,13668239
2022,12,155197942,3.000,9,13668258
2022,16,162389056,1.000,9,14655663
2022,12,162498176,1.000,9,14668632
2022,4,162389058,1.000,9,14655664
2022,16,162389059,16.000,9,14655665
2022,2,162389061,2.000,9,14655666
2022,12,162498178,1.000,9,14668633
2022,4,162922630,1.000,11,14719669
2022,8,162498260,3.000,9,14668652
2022,4,162498269,1.000,9,14668654
2022,12,162498272,1.000,9,14668655
2022,16,165962311,30.000,9,15146373
2022,12,162498282,1.000,9,14668657
2022,5,162392277,1.000,9,14656016
2022,12,162398315,2.000,9,14656555
2022,12,162398316,1.000,11,14656556
2022,12,162392279,1.000,9,14656017
2022,12,162398317,1.000,9,14656557
2022,8,162383405,6.000,9,14655270
2022,16,162392287,1.000,9,14656018
2022,5,162392290,1.000,9,14656019
2022,8,162383408,10.000,9,14655271
2022,2,162923888,2.000,9,14719762
2022,16,162388926,2.000,9,14655630
2022,12,162392430,1.000,9,14656027
2022,2,162389648,0.700,1,14655820
2022,17,162392908,1.000,9,14656059
2022,15,165962526,13.000,9,15146414
2022,8,162391569,1.000,9,14655966
2022,8,151492728,1.000,9,13102444
2022,8,155224785,1.000,1,13672382
2022,12,162523714,1.000,9,14670917
2022,8,162526887,1.000,9,14671012
2022,5,162522137,1.000,9,14670838
2022,5,162523917,2.000,9,14670918
2022,17,162526494,1.000,9,14670979
2022,12,162522847,5.000,9,14670886
2022,17,155226442,0.500,1,13672506
2022,12,162909610,4.000,9,14718567
2022,17,155226599,0.250,1,13672513
2022,4,162387445,10.000,9,14655384
2022,11,162329915,48.000,1,14651178
2022,16,149528876,0.000,1,12821673
2022,12,149529571,0.000,1,12821687
2022,12,149529600,0.000,1,12821689
2022,16,149530361,0.000,1,12821702
2022,16,149531425,10.000,1,12821780
2022,12,149531722,18.000,1,12821806
2022,16,149526819,0.000,1,12821536
2022,12,149532501,0.000,1,12821868
2022,17,149532532,0.000,1,12821869
2022,12,149533243,0.000,1,12821960
