data_year,criminal_act_id,offense_id
2022,9,197497309
2022,9,192436381
2022,6,192435239
2022,9,192435240
2022,9,192423369
2022,9,192435242
2022,9,192424359
2022,9,192424751
2022,9,192424764
2022,9,192425227
2022,6,192425231
2022,9,192425238
2022,9,192425240
2022,6,192425241
2022,9,192425251
2022,9,192425265
2022,9,197308199
2022,9,180252394
2022,9,192425226
2022,9,180252398
2022,9,180252399
2022,9,192425232
2022,6,180252403
2022,9,192425704
2022,9,192425709
2022,6,192435262
2022,9,192435263
2022,9,192427824
2022,6,192435267
2022,9,192435268
2022,9,192425714
2022,9,201593054
2022,9,192749536
2022,9,192425720
2022,9,192435271
2022,9,192425726
2022,9,192425741
2022,6,192431892
2022,9,192431894
2022,9,192425758
2022,2,192425761
2022,9,192425882
2022,9,192425786
2022,9,192425827
2022,9,192425848
2022,9,192426194
2022,6,192426195
2022,9,192426201
2022,9,192426224
2022,9,192426231
2022,9,192426233
2022,9,192426223
2022,9,192426281
2022,6,192552759
2022,9,192552760
2022,9,192426284
2022,9,192426288
2022,9,192426299
2022,9,192426246
2022,9,192436395
2022,9,192551847
2022,6,192551848
2022,9,192551851
2022,9,192491317
2022,9,192435642
2022,9,192491320
2022,6,192491321
2022,9,192551857
2022,9,192551861
2022,6,192551865
2022,9,192551866
2022,9,192551868
2022,9,192551870
2022,9,192551873
2022,6,192435647
2022,9,192435648
2022,9,192441017
2022,6,192551878
2022,9,192551879
2022,6,192551880
2022,9,192551881
2022,9,192551883
2022,9,192551885
2022,9,192551886
2022,9,192551888
2022,9,192551892
2022,9,192551898
2022,9,192552263
2022,9,192567670
2022,9,192567671
2022,9,192567675
2022,9,192567681
2022,6,192567682
2022,9,192567683
2022,9,192428725
2022,9,192428726
2022,9,192435661
2022,6,192435662
2022,6,192428736
2022,6,192428737
2022,9,192428738
2022,9,192428740
2022,9,192428742
2022,9,192428743
2022,9,192428746
2022,9,192429035
2022,9,180252605
2022,9,192749545
2022,9,192429083
2022,9,192429084
2022,9,192429087
2022,9,192757227
2022,9,192429088
2022,6,192435623
2022,9,192435624
2022,6,192435626
2022,9,192435627
2022,9,192435631
2022,9,192429096
2022,9,192429101
2022,9,192429104
2022,9,192435634
2022,9,192421445
2022,9,192421547
2022,9,192436008
2022,9,192421718
2022,6,192421764
2022,9,192421765
2022,9,192436011
2022,9,192436012
2022,9,192421810
2022,9,192421834
2022,9,192436013
2022,9,192421900
2022,9,192421924
2022,9,192436017
2022,6,192421944
2022,9,192421945
2022,9,192436019
2022,6,192421590
2022,9,192421591
2022,6,192436022
2022,9,192436023
2022,9,192431899
2022,9,192423457
2022,9,192423473
2022,6,192423476
2022,9,192423478
2022,9,192423520
2022,9,192423535
2022,9,192429215
2022,9,192436475
2022,9,192757259
2022,6,192757260
2022,6,192423634
2022,9,192423635
2022,6,192429218
2022,9,192429219
2022,9,192429221
2022,9,192429226
2022,9,192436479
2022,6,192757267
2022,9,192757268
2022,9,192429231
2022,6,192429232
2022,6,192423764
2022,9,192423772
2022,9,192429236
2022,9,192423781
2022,9,192431718
2022,9,192432234
2022,9,192431720
2022,9,192423590
2022,9,192423667
2022,9,192423724
2022,9,192436482
2022,9,192424361
2022,9,192424373
2022,9,192424378
2022,9,192424385
2022,9,192424366
2022,6,180252606
2022,9,192424390
2022,6,180252610
2022,9,180252612
2022,9,192432267
2022,9,192431774
2022,9,192432098
2022,6,192424413
2022,9,192424414
2022,9,192432100
2022,9,192432101
2022,6,192432273
2022,9,192432274
2022,9,192432104
2022,9,192432108
2022,6,192432109
2022,9,192432119
2022,9,192432125
2022,9,192432129
