data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2023,56381416,,51
2023,52714559,,51
2023,52714594,,51
2023,52710863,,51
2023,52710864,,51
2023,52710865,,51
2023,52710866,,51
2023,52710867,,51
2023,52786938,,51
2023,52710868,,51
2023,52710869,,51
2023,52710870,,51
2023,52786951,,51
2023,52710873,,51
2023,52710874,,51
2023,52710875,,51
2023,52710929,,51
2023,52710989,,51
2023,52795103,,51
2023,52710990,,51
2023,52787392,,51
2023,52709654,,51
2023,52709662,,51
2023,52787395,,51
2023,52709847,,51
2023,52709848,,51
2023,52709849,,51
2023,52787990,,51
2023,52709850,,51
2023,52709941,,51
2023,52709942,,51
2023,52709943,,51
2023,53338122,,51
2023,53338123,,51
2023,53338124,,51
2023,52762291,,51
2023,52762292,,51
2023,52762293,,51
2023,52762294,,51
2023,52762297,,51
2023,52762298,,51
2023,52762299,,51
2023,52762300,,51
2023,52764948,,51
2023,52795104,,51
2023,52761591,,51
2023,52761592,,51
2023,52761593,,51
2023,53338125,,51
2023,53338126,,51
2023,53338127,,51
2023,53338128,,51
2023,53338129,,51
2023,52762301,,51
2023,52764947,,51
2023,52764949,,51
2023,52764950,,51
2023,52761590,,51
2023,52795105,,51
2023,52761834,,51
2023,52762842,,51
2023,52763758,,51
2023,52763759,,51
2023,52764568,,51
2023,52764576,,51
2023,52764585,,51
2023,52764956,,51
2023,52761595,,51
2023,56381819,,51
2023,56381820,,51
2023,52761835,,51
2023,52761838,,51
2023,52762191,,51
2023,52762188,,51
2023,52762305,,51
2023,52762306,,51
2023,52762309,,51
2023,54513055,,51
2023,54513056,,51
2023,52762462,,51
2023,52762463,,51
2023,52795332,,51
2023,52795106,,51
2023,52795173,,51
2023,52795422,,51
2023,52795333,,51
2023,52795334,,51
2023,52795335,,51
2023,52795336,,51
2023,52795337,,51
2023,52795338,,51
2023,53338251,,51
2023,52795381,,51
2023,52795382,,51
2023,52791998,,51
2023,52792103,,51
2023,53332257,,51
2023,52792104,,51
2023,52792105,,51
2023,53332299,,51
2023,52792106,,51
2023,52792116,,51
2023,52792117,,51
2023,52792118,,51
2023,52792119,,51
2023,52792440,,51
2023,52792441,,51
2023,52792442,,51
2023,56381822,,51
2023,52792443,,51
2023,52792421,,51
2023,52792423,,51
2023,52792424,,51
2023,52792572,,51
2023,52792579,,51
2023,52792580,,51
2023,52792629,,51
2023,52792601,,51
2023,52792633,,51
2023,53332951,,51
2023,52792640,,51
2023,57383591,,51
2023,52792710,,51
2023,53328464,,51
2023,53329231,,51
2023,53329232,,51
2023,53330511,,51
2023,55744986,,51
2023,53330441,,51
2023,53330443,,51
2023,53330445,,51
2023,53330446,,51
2023,53330986,,51
2023,53331162,,51
2023,53331154,,51
2023,53331156,,51
2023,53331002,,51
2023,53331003,,51
2023,53331158,,51
2023,53331166,,51
2023,53331167,,51
2023,53331170,,51
2023,53331171,,51
2023,53331329,,51
2023,53331416,,51
2023,53331418,,51
2023,53325861,,51
2023,53325946,,51
2023,53326097,,51
2023,53325975,,51
2023,53325976,,51
2023,53325953,,51
2023,53326555,,51
2023,53326590,,51
2023,53327209,,51
2023,55584752,,51
2023,55584753,,51
2023,53327567,,51
2023,53327569,,51
2023,53327570,,51
2023,53329031,,51
2023,53329882,,51
2023,53330605,,51
2023,53330959,,51
2023,53331361,,51
2023,54383895,,51
2023,54383896,,51
2023,54383897,,51
2023,54380408,,51
2023,54380871,,51
2023,54380875,,51
2023,54380897,,51
2023,54380942,,51
2023,54381146,,51
2023,54381147,,51
2023,54381149,,51
2023,54381148,,51
2023,54384170,,51
2023,54384175,,51
